Country,Date Program/ Agency Established,Satellites Currently in Orbit/GSO,Moon Treaty Participant,Moon Treaty Participant Numeric,Space Travelling Astronauts,Outer Space Treaty Signatory,Outer Space Treaty Signatory Numeric,OST Date of Signature 1,OST Date of Signature,OST Year of Signature,OST Consent to be bound,OST Consent to be Bound Year,National Space Agency or Program,National Space Agency or Program Numeric,Name of Space Agency or Program,Artemis Accords Signatory,Artemis Accords Signatory Numeric
Honduras,,0,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,#N/A,#N/A,No,0,N/A,No,0
Hungary,,5,No,0,2,Yes,1.00,01-27-1967,"January 27, 1967",1967,"June 26, 1967",1967,No,0,N/A,No,0
Iceland,,0,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,"February 5, 1968",1968,No,0,N/A,Yes,1
India,,118,Yes,1,1,Yes,1.00,03-03-1967,"March 3, 1967",1967,"January 18, 1982",1982,Yes,1,Indian Space Research Organisation (ISRO),Yes,1
Indonesia,,20,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,#N/A,#N/A,Yes,1,National Institute of Aeronautics and Space (LAPAN),No,0
Iran,,13,No,0,1,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,Yes,1,Iranian Space Agency,No,0
Iraq,,0,No,0,0,Yes,1.00,02-27-1967,"February 27, 1967",1967,#N/A,#N/A,No,0,N/A,No,0
Ireland,,1,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,"July 17, 1968",1968,No,0,N/A,No,0
Israel,,29,No,0,1,Yes,1.00,01-27-1967,"January 27, 1967",1967,"February 18, 1977",1977,Yes,1,Israel Space Agency (ISA),Yes,1
Italy,,74,No,0,7,Yes,1.00,01-27-1967,"January 27, 1967",1967,"May 4, 1972",1972,Yes,1,Italian Space Agency (ASI),Yes,1
Ivory Coast,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Jamaica,,0,No,0,0,Yes,1.00,06-29-1967,"June 29, 1967",1967,"August 6, 1970",1970,No,0,N/A,No,0
Japan,,232,No,0,11,Yes,1.00,01-27-1967,"January 27, 1967",1967,"October 10, 1967",1967,Yes,1,Japan Aerospace Exploration Agency (JAXA),Yes,1
Jordan,,1,No,0,0,Yes,1.00,02-02-1967,"February 2, 1967",1967,#N/A,#N/A,No,0,N/A,No,0
Kazakhstan,,9,Yes,1,2,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Kenya,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,Yes,1,Kenya Space Agency (KENSA),No,0
Kiribati,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Kosovo,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Kuwait,,1,Yes,1,0,Yes,1.00,#N/A,#N/A,#N/A,"June 7, 1972",1972,No,0,N/A,No,0
Kyrgyzstan,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Laos,,1,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,"November 29, 1972",1972,No,0,N/A,No,0
Latvia,,0,No,0,0,Yes,1.00,#N/A,#N/A,#N/A,"May 23, 2025",2025,No,0,N/A,No,0
Lebanon,,0,Yes,1,0,Yes,1.00,02-23-1967,"February 23, 1967",1967,"June 30, 1969",1969,No,0,N/A,No,0
Lesotho,,0,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,#N/A,#N/A,No,0,N/A,No,0
Liberia,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Libya,,0,No,0,0,Yes,1.00,#N/A,#N/A,#N/A,"July 3, 1968",1968,No,0,N/A,No,0
Liechtenstein,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,Yes,1
Lithuania,,6,No,0,0,Yes,1.00,#N/A,#N/A,#N/A,"March 25, 2013",2013,No,0,N/A,Yes,1
Luxembourg,,53,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,"January 17, 2006",2006,Yes,1,Luxembourg Space Agency (LSA),Yes,1
Macedonia,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Madagascar,,0,No,0,0,Yes,1.00,#N/A,#N/A,#N/A,"August 22, 1968",1968,No,0,N/A,No,0
Malawi,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Malaysia,,10,No,0,1,Yes,1.00,02-20-1967,"February 20, 1967",1967,#N/A,#N/A,No,0,N/A,No,0
Maldives,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Mali,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Malta,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Martinique,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Mauritania,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Mauritius,,0,No,0,0,Yes,1.00,#N/A,#N/A,#N/A,"April 7, 1969",1969,No,0,N/A,No,0
Mexico,,16,Yes,1,1,Yes,1.00,01-27-1967,"January 27, 1967",1967,"January 31, 1968",1968,Yes,1,Mexican Space Agency (AEM),Yes,1
Micronesia,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Moldova,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Monaco,,1,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
